DATE,10*2M3,3Q_LAG
1968/6/7,5.73,12.9501
1968/6/10,5.7,12.9501
1968/6/11,5.67,12.9501
1968/6/12,5.64,12.9501
1968/6/13,5.68,12.9501
1968/6/14,5.64,12.9501
1968/6/17,5.64,12.9501
1968/6/18,5.64,12.9501
1968/6/19,5.6,12.9501
1968/6/20,5.58,12.9501
1968/6/21,5.54,12.9501
1968/6/24,5.5,12.9501
1968/6/25,5.47,12.9501
1968/6/26,5.46,12.9501
1968/6/27,5.49,12.9501
1968/6/28,5.5,12.9501
1968/7/1,5.49,12.9501
1968/7/2,5.48,12.9501
1968/7/3,5.49,12.9501
1968/7/5,5.49,12.9501
1968/7/8,5.5,20.46049999
1968/7/9,5.49,20.46049999
1968/7/10,5.46,20.46049999
1968/7/11,5.45,20.46049999
1968/7/12,5.47,20.46049999
1968/7/15,5.48,20.46049999
1968/7/16,5.5,20.46049999
1968/7/17,5.54,20.46049999
1968/7/18,5.6,20.46049999
1968/7/19,5.58,20.46049999
1968/7/22,5.5,20.46049999
1968/7/23,5.39,20.46049999
1968/7/24,5.36,20.46049999
1968/7/25,5.34,20.46049999
1968/7/26,5.34,20.46049999
1968/7/29,5.34,20.46049999
1968/7/30,5.32,20.46049999
1968/7/31,5.3,20.46049999
1968/8/1,5.37,20.46049999
1968/8/2,5.32,20.46049999
1968/8/5,5.33,20.46049999
1968/8/6,5.3,20.46049999
1968/8/7,5.34,20.46049999
1968/8/8,5.35,20.46049999
1968/8/9,5.36,20.46049999
1968/8/12,5.37,20.46049999
1968/8/13,5.39,20.46049999
1968/8/14,5.42,20.46049999
1968/8/15,5.46,20.46049999
1968/8/16,5.44,20.46049999
1968/8/19,5.44,20.46049999
1968/8/20,5.44,20.46049999
1968/8/21,5.48,20.46049999
1968/8/22,5.53,20.46049999
1968/8/23,5.51,20.46049999
1968/8/26,5.51,20.46049999
1968/8/27,5.51,20.46049999
1968/8/28,5.5,20.46049999
1968/8/29,5.48,20.46049999
1968/8/30,5.48,20.46049999
1968/9/3,5.49,20.46049999
1968/9/4,5.53,20.46049999
1968/9/5,5.55,20.46049999
1968/9/6,5.56,20.46049999
1968/9/9,5.55,20.46049999
1968/9/10,5.55,20.46049999
1968/9/11,5.54,20.46049999
1968/9/12,5.53,20.46049999
1968/9/13,5.55,20.46049999
1968/9/16,5.53,20.46049999
1968/9/17,5.53,20.46049999
1968/9/18,5.49,20.46049999
1968/9/19,5.51,20.46049999
1968/9/20,5.52,20.46049999
1968/9/23,5.51,20.46049999
1968/9/24,5.51,20.46049999
1968/9/25,5.5,20.46049999
1968/9/26,5.5,20.46049999
1968/9/27,5.52,20.46049999
1968/9/30,5.55,20.46049999
1968/10/1,5.54,20.46049999
1968/10/2,5.54,20.46049999
1968/10/3,5.56,20.46049999
1968/10/4,5.59,45.70280001
1968/10/7,5.59,45.70280001
1968/10/8,5.61,45.70280001
1968/10/9,5.66,45.70280001
1968/10/10,5.7,45.70280001
1968/10/11,5.72,45.70280001
1968/10/14,5.7,45.70280001
1968/10/15,5.73,45.70280001
1968/10/16,5.71,45.70280001
1968/10/17,5.67,45.70280001
1968/10/18,5.65,45.70280001
1968/10/21,5.65,45.70280001
1968/10/22,5.63,45.70280001
1968/10/23,5.64,45.70280001
1968/10/24,5.64,45.70280001
1968/10/25,5.66,45.70280001
1968/10/28,5.66,45.70280001
1968/10/29,5.66,45.70280001
1968/10/30,5.69,45.70280001
1968/10/31,5.67,45.70280001
1968/11/1,5.7,45.70280001
1968/11/4,5.71,45.70280001
1968/11/6,5.7,45.70280001
1968/11/7,5.71,45.70280001
1968/11/8,5.72,45.70280001
1968/11/12,5.75,45.70280001
