DATE,10*2M3,3Q_LAG
1967/10/2,5.26,-0.034648571
1967/10/3,5.27,-0.034648571
1967/10/4,5.28,-0.06574
1967/10/5,5.3,-0.06574
1967/10/6,5.3,-0.06574
1967/10/9,5.33,-0.06574
1967/10/10,5.36,-0.06574
1967/10/11,5.35,-0.06574
1967/10/13,5.39,-0.06574
1967/10/16,5.4,-0.06574
1967/10/17,5.42,-0.06574
1967/10/18,5.48,-0.06574
1967/10/19,5.53,-0.06574
1967/10/20,5.51,-0.06574
1967/10/23,5.56,-0.06574
1967/10/24,5.56,-0.06574
1967/10/25,5.58,-0.06574
1967/10/26,5.58,-0.06574
1967/10/27,5.58,-0.06574
1967/10/30,5.62,-0.06574
1967/10/31,5.65,-0.06574
1967/11/1,5.72,-0.06574
1967/11/2,5.73,-0.06574
1967/11/3,5.76,-0.06574
1967/11/6,5.74,-0.06574
1967/11/8,5.7,-0.06574
1967/11/9,5.77,-0.06574
1967/11/10,5.85,-0.06574
1967/11/13,5.87,-0.06574
1967/11/14,5.86,-0.06574
1967/11/15,5.83,-0.06574
1967/11/16,5.8,-0.06574
1967/11/17,5.84,-0.06574
1967/11/20,5.91,-0.06574
1967/11/21,5.76,-0.06574
1967/11/22,5.82,-0.06574
1967/11/24,5.9,-0.06574
1967/11/27,5.83,-0.06574
1967/11/28,5.73,-0.06574
1967/11/29,5.74,-0.06574
1967/11/30,5.79,-0.06574
1967/12/1,5.82,-0.06574
1967/12/4,5.8,-0.06574
1967/12/5,5.8,-0.06574
1967/12/6,5.73,-0.06574
1967/12/7,5.73,-0.06574
1967/12/8,5.74,-0.06574
1967/12/11,5.77,-0.06574
1967/12/12,5.78,-0.06574
1967/12/13,5.74,-0.06574
1967/12/14,5.7,-0.06574
1967/12/15,5.68,-0.06574
1967/12/18,5.68,-0.06574
1967/12/19,5.66,-0.06574
1967/12/20,5.59,-0.06574
1967/12/21,5.6,-0.06574
1967/12/22,5.65,-0.06574
1967/12/26,5.58,-0.06574
1967/12/27,5.59,-0.06574
1967/12/28,5.62,-0.06574
1967/12/29,5.6,-0.06574
1968/1/2,5.55,-0.06574
1968/1/3,5.56,-0.06574
1968/1/4,5.47,-0.06574
1968/1/5,5.46,-0.06574
1968/1/8,5.47,-0.06574
1968/1/9,5.5,-0.180965714
1968/1/10,5.44,-0.180965714
1968/1/11,5.48,-0.180965714
1968/1/12,5.42,-0.180965714
1968/1/15,5.5,-0.180965714
1968/1/16,5.54,-0.180965714
1968/1/17,5.5,-0.180965714
1968/1/18,5.57,-0.180965714
1968/1/19,5.6,-0.180965714
1968/1/22,5.62,-0.180965714
1968/1/23,5.58,-0.180965714
1968/1/24,5.58,-0.180965714
1968/1/25,5.55,-0.180965714
1968/1/26,5.55,-0.180965714
1968/1/29,5.56,-0.180965714
1968/1/30,5.54,-0.180965714
1968/1/31,5.56,-0.180965714
1968/2/1,5.58,-0.180965714
1968/2/2,5.58,-0.180965714
1968/2/5,5.6,-0.180965714
1968/2/6,5.59,-0.180965714
1968/2/7,5.57,-0.180965714
1968/2/8,5.56,-0.180965714
1968/2/9,5.55,-0.180965714
1968/2/13,5.5,-0.180965714
1968/2/14,5.49,-0.180965714
1968/2/15,5.44,-0.180965714
1968/2/16,5.45,-0.180965714
1968/2/19,5.48,-0.180965714
1968/2/20,5.46,-0.180965714
1968/2/21,5.47,-0.180965714
1968/2/23,5.49,-0.180965714
1968/2/26,5.49,-0.180965714
1968/2/27,5.5,-0.180965714
1968/2/28,5.49,-0.180965714
1968/2/29,5.47,-0.180965714
1968/3/1,5.47,-0.180965714
1968/3/4,5.49,-0.180965714
1968/3/5,5.52,-0.180965714
1968/3/6,5.54,-0.180965714
1968/3/7,5.58,-0.180965714
1968/3/8,5.65,-0.180965714
1968/3/11,5.69,-0.180965714
1968/3/12,5.73,-0.180965714
1968/3/13,5.78,-0.180965714
1968/3/14,5.87,-0.180965714
1968/3/15,5.78,-0.180965714
1968/3/18,5.71,-0.180965714
1968/3/19,5.69,-0.180965714
1968/3/20,5.68,-0.180965714
1968/3/21,5.69,-0.180965714
1968/3/22,5.69,-0.180965714
1968/3/25,5.69,-0.180965714
1968/3/26,5.75,-0.180965714
1968/3/27,5.76,-0.180965714
1968/3/28,5.74,-0.180965714
1968/3/29,5.73,-0.180965714
1968/4/1,5.59,-0.180965714
1968/4/2,5.6,-0.180965714
1968/4/3,5.48,-0.180965714
1968/4/4,5.52,-0.180965714
1968/4/5,5.51,-0.180965714
1968/4/8,5.56,-0.370002857
1968/4/10,5.55,-0.370002857
1968/4/11,5.52,-0.370002857
1968/4/15,5.54,-0.370002857
1968/4/16,5.56,-0.370002857
1968/4/17,5.56,-0.370002857
1968/4/18,5.52,-0.370002857
1968/4/19,5.58,-0.370002857
1968/4/22,5.56,-0.370002857
1968/4/23,5.53,-0.370002857
1968/4/24,5.51,-0.370002857
1968/4/25,5.49,-0.370002857
